display_name,country,points,rank
gjg_0,au,0,0
gjg_1,fr,0,0
gjg_2,fr,0,0
gjg_3,tr,0,0
gjg_4,us,0,0
gjg_5,au,0,0
gjg_6,us,0,0
gjg_7,us,0,0
gjg_8,au,0,0
gjg_9,tr,0,0
gjg_10,ca,0,0
gjg_11,tr,0,0
gjg_12,us,0,0
gjg_13,us,0,0
gjg_14,au,0,0
gjg_15,fr,0,0
gjg_16,au,0,0
gjg_17,au,0,0
gjg_18,us,0,0
gjg_19,ca,0,0
gjg_20,fr,0,0
gjg_21,fr,0,0
gjg_22,tr,0,0
gjg_23,au,0,0
gjg_24,us,0,0
gjg_25,au,0,0
gjg_26,tr,0,0
gjg_27,ca,0,0
gjg_28,us,0,0
gjg_29,tr,0,0
gjg_30,au,0,0
gjg_31,us,0,0
gjg_32,au,0,0
gjg_33,ca,0,0
gjg_34,au,0,0
gjg_35,ca,0,0
gjg_36,tr,0,0
gjg_37,au,0,0
gjg_38,au,0,0
gjg_39,tr,0,0
gjg_40,ca,0,0
gjg_41,fr,0,0
gjg_42,fr,0,0
gjg_43,tr,0,0
gjg_44,au,0,0
gjg_45,us,0,0
gjg_46,fr,0,0
gjg_47,tr,0,0
gjg_48,fr,0,0
gjg_49,au,0,0
gjg_50,us,0,0
gjg_51,us,0,0
gjg_52,au,0,0
gjg_53,fr,0,0
gjg_54,tr,0,0
gjg_55,fr,0,0
gjg_56,us,0,0
gjg_57,ca,0,0
gjg_58,us,0,0
gjg_59,au,0,0
gjg_60,tr,0,0
gjg_61,fr,0,0
gjg_62,ca,0,0
gjg_63,tr,0,0
gjg_64,fr,0,0
gjg_65,fr,0,0
gjg_66,tr,0,0
gjg_67,au,0,0
gjg_68,us,0,0
gjg_69,ca,0,0
gjg_70,us,0,0
gjg_71,ca,0,0
gjg_72,us,0,0
gjg_73,us,0,0
gjg_74,us,0,0
gjg_75,fr,0,0
gjg_76,tr,0,0
gjg_77,ca,0,0
gjg_78,us,0,0
gjg_79,tr,0,0
gjg_80,au,0,0
gjg_81,fr,0,0
gjg_82,tr,0,0
gjg_83,ca,0,0
gjg_84,ca,0,0
gjg_85,ca,0,0
gjg_86,us,0,0
gjg_87,ca,0,0
gjg_88,fr,0,0
gjg_89,fr,0,0
gjg_90,tr,0,0
gjg_91,au,0,0
gjg_92,us,0,0
gjg_93,tr,0,0
gjg_94,ca,0,0
gjg_95,ca,0,0
gjg_96,us,0,0
gjg_97,fr,0,0
gjg_98,fr,0,0
gjg_99,fr,0,0
gjg_100,ca,0,0
gjg_101,au,0,0
gjg_102,au,0,0
gjg_103,ca,0,0
gjg_104,us,0,0
gjg_105,tr,0,0
gjg_106,us,0,0
gjg_107,tr,0,0
gjg_108,tr,0,0
gjg_109,tr,0,0
gjg_110,us,0,0
gjg_111,tr,0,0
gjg_112,ca,0,0
gjg_113,us,0,0
gjg_114,fr,0,0
gjg_115,au,0,0
gjg_116,fr,0,0
gjg_117,ca,0,0
gjg_118,fr,0,0
gjg_119,fr,0,0
gjg_120,au,0,0
gjg_121,ca,0,0
gjg_122,tr,0,0
gjg_123,au,0,0
gjg_124,au,0,0
gjg_125,au,0,0
gjg_126,fr,0,0
gjg_127,fr,0,0
gjg_128,ca,0,0
gjg_129,ca,0,0
gjg_130,us,0,0
gjg_131,ca,0,0
gjg_132,ca,0,0
gjg_133,au,0,0
gjg_134,au,0,0
gjg_135,us,0,0
gjg_136,au,0,0
gjg_137,us,0,0
gjg_138,us,0,0
gjg_139,au,0,0
gjg_140,us,0,0
gjg_141,au,0,0
gjg_142,au,0,0
gjg_143,us,0,0
gjg_144,fr,0,0
gjg_145,au,0,0
gjg_146,fr,0,0
gjg_147,tr,0,0
gjg_148,tr,0,0
gjg_149,au,0,0
gjg_150,ca,0,0
gjg_151,au,0,0
gjg_152,ca,0,0
gjg_153,us,0,0
gjg_154,au,0,0
gjg_155,tr,0,0
gjg_156,ca,0,0
gjg_157,us,0,0
gjg_158,tr,0,0
gjg_159,au,0,0
gjg_160,us,0,0
gjg_161,us,0,0
gjg_162,au,0,0
gjg_163,fr,0,0
gjg_164,au,0,0
gjg_165,fr,0,0
gjg_166,us,0,0
gjg_167,us,0,0
gjg_168,us,0,0
gjg_169,ca,0,0
gjg_170,au,0,0
gjg_171,au,0,0
gjg_172,fr,0,0
gjg_173,ca,0,0
gjg_174,tr,0,0
gjg_175,us,0,0
gjg_176,ca,0,0
gjg_177,fr,0,0
gjg_178,ca,0,0
gjg_179,tr,0,0
gjg_180,ca,0,0
gjg_181,fr,0,0
gjg_182,fr,0,0
gjg_183,us,0,0
gjg_184,ca,0,0
gjg_185,fr,0,0
gjg_186,au,0,0
gjg_187,ca,0,0
gjg_188,ca,0,0
gjg_189,us,0,0
gjg_190,fr,0,0
gjg_191,ca,0,0
gjg_192,us,0,0
gjg_193,us,0,0
gjg_194,ca,0,0
gjg_195,fr,0,0
gjg_196,us,0,0
gjg_197,ca,0,0
gjg_198,us,0,0
gjg_199,ca,0,0
gjg_200,au,0,0
gjg_201,ca,0,0
gjg_202,us,0,0
gjg_203,ca,0,0
gjg_204,fr,0,0
gjg_205,au,0,0
gjg_206,tr,0,0
gjg_207,fr,0,0
gjg_208,au,0,0
gjg_209,au,0,0
gjg_210,us,0,0
gjg_211,ca,0,0
gjg_212,tr,0,0
gjg_213,fr,0,0
gjg_214,fr,0,0
gjg_215,us,0,0
gjg_216,au,0,0
gjg_217,tr,0,0
gjg_218,tr,0,0
gjg_219,us,0,0
gjg_220,au,0,0
gjg_221,us,0,0
gjg_222,fr,0,0
gjg_223,fr,0,0
gjg_224,fr,0,0
gjg_225,au,0,0
gjg_226,ca,0,0
gjg_227,fr,0,0
gjg_228,ca,0,0
gjg_229,fr,0,0
gjg_230,ca,0,0
gjg_231,us,0,0
gjg_232,us,0,0
